game,song_name,credit
Mario & Luigi: Superstar Saga,Cackletta Theme,Dimentio
Mario & Luigi: Superstar Saga,Castle Area,G-Han
Mario & Luigi: Superstar Saga,Castle Courtyard,Nintendude73
Mario & Luigi: Superstar Saga,Chucklehuck Woods,Nintendude73
Mario & Luigi: Superstar Saga,Come On!,Static
Mario & Luigi: Superstar Saga,Elemental Palace,Joel Hands-Otte
Mario & Luigi: Superstar Saga,File Select/Game Over,Dudeman
Mario & Luigi: Superstar Saga,Final Cackletta,Rubikium
Mario & Luigi: Superstar Saga,Gwarhar Lagoon,Nintendude73
Mario & Luigi: Superstar Saga,His Name is Fawful,Dudeman
Mario & Luigi: Superstar Saga,Hoohoo Village,Nintendude73
Mario & Luigi: Superstar Saga,Peach Misfortune,Onionleaf
Mario & Luigi: Superstar Saga,Rookie & Popple,Th3Gavst3r
Mario & Luigi: Superstar Saga,Seabed,Don Valentino
Mario & Luigi: Superstar Saga,Teehee Valley,Rain Shinotsu
Mario & Luigi: Superstar Saga,Title Theme,Nintendude73
Mario Golf: Advance Tour,Title,WiiMan96
Mario Kart: Super Circuit,Battle,WaluigiTime64
Mario Kart: Super Circuit,Bowser Castle,Fantastic Ike
Mario Kart: Super Circuit,Circuit,XiaoMigros
Mario Kart: Super Circuit,Credits,G-Han
Mario Kart: Super Circuit,Sky Garden,Latios212
Mario Kart: Super Circuit,Snow Land,WaluigiTime64
Mario Kart: Super Circuit,Sunset Wilds,Nine Lives
Mario Kart: Super Circuit,Yoshi Desert,Fantastic Ike
Mega Man Battle Network,Home Town,Echo
Mega Man Battle Network,Running Through the Cyber World,Echo
Mega Man Zero,EXPRESS UG,Commander6
Mega Man Zero,Resistance,Commander6
Mega Man Zero,Theme of ZERO (from Mega Man X),Commander6
Mega Man Zero,"X, The Legend",Jake_Luigi
Mega Man Zero 2,Gravity,Commander6
Mega Man Zero 2,Intro,G-Han
Mega Man Zero 2,Neo Arcadia II,Commander6
Mega Man Zero 2,Power Bom,Commander6
Mega Man Zero 3,Cannon Ball,Commander6
Mega Man Zero 3,Hell's Gate Open,Commander6
Mega Man Zero 3,High-Speed Lift,Commander6
Mega Man Zero 3,Reborn Mechanics,Commander6
Mega Man Zero 3,Trail on Powdery Snow,Commander6
Mega Man Zero 3,Volcano,Commander6
Mega Man Zero 4,Power Field,Jake_Luigi
Metroid Fusion,Final Mission,MetroidHunter26
Metroid Fusion,VS. Nightmare,Libera
Metroid: Zero Mission,Chozo Guide,MetroidHunter26
Metroid: Zero Mission,Kraid's Hideout,MetroidHunter26
Metroid: Zero Mission,Reflecting on Memories Past,Olimar12345
Metroid: Zero Mission,Title Screen,MetroidHunter26
Mother 3,16 Melodies (Beginning),Maelstrom
Mother 3,"A Tiny, Enormous Miracle",seagaia
